出院（死亡）记录	EMR120001,EMR100014
入院记录	EMR090001,EMR090002,EMR090003
病程记录	EMR100001,EMR100002,EMR100003,EMR100004,EMR100005,EMR100006,EMR100007,EMR100008,EMR100012,EMR100015,EMR100021,EMR100022,EMR050104,EMR050105,EMR100051,EMR100052,EMR100053,EMR100054,EMR100055
会诊记录	EMR100009,HIS000005
手术相关记录	EMR100011,EMR050108,EMR100010,EMR050102,EMR050109,EMR050122,EMR050103,EMR050106,EMR050107,EMR050121,EMR010005,EMR050203,HIS000002
知情同意书	EMR070001,EMR070002,EMR070003,EMR070004,EMR070005,EMR070006,EMR070021,EMR070022,EMR070023,EMR070024,EMR070025,EMR070026,EMR070027,EMR070028,EMR070029,EMR070030,EMR070031,EMR070099,EMR070051
医嘱	EMR110001,EMR110002
护理记录	EMR060106,EMR060201,EMR060203,EMR060205,EMR060107,EMR060101,HIS000004,EMR150001,EMR150001,HIS000006,HIS000003
检查记录	EMR040001
检验记录	EMR040002,HIS000001
分娩记录	EMR050203
高拍文书	EMR180001
UserBase	UserBase
